Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-11-03 05:08:34,2023-11-04 19:22:35,1574,GOOGLE *Domains,Merchandise,5.96,
2023-08-03 18:57:32,2023-08-04 00:16:26,1574,GOOGLE *Domains,Merchandise,10.86,
2023-06-07 01:10:39,2023-06-07 09:42:33,1574,MCDONALDS-DXB AIRPORT,Merchandise,9.9,
2023-09-22 03:49:42,2023-09-22 18:45:31,1574,MC DONALDS,Dining,6.54,
2023-05-23 05:17:23,2023-05-24 01:35:39,1574,JFK SHAKESHACK B236352,Dining,11.03,
2023-06-16 10:35:20,2023-06-17 08:14:02,1574,DD DOORDASH MASALAKIT,Dining,17.79,
2023-03-01 13:39:51,2023-03-02 16:18:06,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,71.09
2023-09-18 20:34:57,2023-09-20 19:28:27,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,35.56
2023-06-15 10:42:14,2023-06-15 13:18:23,1574,DD DOORDASH HANDYNAST,Dining,30.76,
2023-12-16 01:04:16,2023-12-16 01:06:21,1574,Amazon.com*VS1OI7G43,Merchandise,11.5,
2023-02-18 22:08:21,2023-02-19 12:14:44,1574,AMZN Mktp US*R407P8XI3,Merchandise,30.46,
2023-03-23 22:06:30,2023-03-24 16:05:46,1574,WAWA 179,Merchandise,5.76,
2023-04-01 02:17:56,2023-04-03 01:43:40,1574,MAKI,Dining,17.8,
2023-01-14 09:34:04,2023-01-14 19:45:49,1574,SQ *ROTHMAN CABIN AT D,Dining,12.72,
2023-08-09 07:58:55,2023-08-10 20:29:09,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,82.58
2023-10-01 09:50:45,2023-10-02 18:51:50,1574,WAWA 179,Merchandise,9.7,
2023-03-21 10:17:57,2023-03-23 02:52:45,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,19.4
2023-10-15 12:37:03,2023-10-16 18:15:06,1574,DD *DOORDASHDASHPASS,Dining,5.0,
2023-08-23 00:25:55,2023-08-24 11:15:49,1574,ACME #2397,Merchandise,11.12,
