Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-10-24,2023-10-24,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,80.16
2023-10-23,2023-10-23,1574,DD DOORDASH MASALAKIT,Dining,18.41,
2023-10-20,2023-10-21,1574,WAWA 179,Merchandise,19.44,
2023-10-19,2023-10-20,1574,CVS/PHARMACY #00450,Health Care,31.31,
2023-10-19,2023-10-20,1574,SQ *34TH AND WALNUT,Dining,8.00,
2023-10-19,2023-10-19,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,92.97
2023-10-17,2023-10-19,1574,DUNKIN' MOBILE AP,Dining,3.00,
2023-10-15,2023-10-17,1574,BURGER KING #14915 Q07,Dining,15.02,
2023-10-17,2023-10-17,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,45.97
2023-10-16,2023-10-17,1574,SP FASHIONNOVA.COM,Merchandise,77.95,
2023-10-13,2023-10-14,1574,CINNABON 4200813,Dining,4.55,
2023-10-12,2023-10-14,1574,BUFFALO WILD ECOM 0306,Dining,17.96,
2023-10-12,2023-10-13,1574,SOUTHEASTERN PENNSYLVA,Other Travel,2.00,
2023-10-11,2023-10-12,1574,DUNKIN #350910 Q35,Dining,5.06,
2023-10-11,2023-10-12,1574,WAWA 201,Gas/Automotive,5.61,
2023-10-11,2023-10-11,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,153.34
2023-10-10,2023-10-11,1574,SHEIN,Merchandise,10.79,
2023-10-10,2023-10-10,1574,LINKSTUB.COM* ENYMIJ2A,Entertainment,50.00,
2023-10-09,2023-10-10,1574,DD DOORDASH MASALAKIT,Dining,18.41,
2023-10-09,2023-10-10,1574,SQ *PENN HALAL GYRO,Dining,8.80,
2023-10-09,2023-10-10,1574,LYFT   1 RIDE 10-08,Other Travel,15.91,
2023-10-08,2023-10-09,1574,UBER   TRIP,Other Travel,11.93,
2023-10-06,2023-10-09,1574,BRU,Dining,38.20,
2023-10-06,2023-10-06,1574,TEA DO,Dining,5.10,
2023-10-04,2023-10-05,1574,DOORDASH DASHPASS,Dining,4.99,
2023-10-03,2023-10-03,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,94.55
2023-10-01,2023-10-02,1574,Peacock 4A30D Premium,Phone/Cable,2.11,
2023-09-30,2023-10-02,1574,HANGRY JOES HOT CHICKE,Dining,15.07,
2023-09-27,2023-09-29,1574,ORANGE COUNTY C C CONC,Dining,15.98,
2023-09-27,2023-09-28,1574,LYFT   1 RIDE 09-26,Other Travel,37.94,
2023-09-27,2023-09-27,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,16.63
2023-09-26,2023-09-27,1574,ALDO LAMBERTI TRATTORI,Dining,3.78,
2023-09-26,2023-09-27,1574,DD DOORDASH TACOBELL,Dining,19.67,
2023-09-25,2023-09-26,1574,AMERICAN  0010636057580,Airfare,16.63,
2023-09-25,2023-09-25,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,74.28
2023-09-20,2023-09-22,1574,ACME #2397,Merchandise,19.74,
2023-09-19,2023-09-21,1574,DUNKIN' MOBILE AP,Dining,2.00,
2023-09-18,2023-09-19,1574,MAKI,Dining,15.11,
2023-09-17,2023-09-18,1574,SQ *PENN HALAL GYRO,Dining,8.80,
2023-09-16,2023-09-18,1574,SQ *RITTENHOUSE - VERV,Dining,3.85,
2023-09-15,2023-09-16,1574,HANGRY JOES HOT CHICKE,Dining,15.07,
2023-09-14,2023-09-15,1574,PAPA JOHN'S 3201,Dining,9.71,
2023-09-14,2023-09-14,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,88.00
2023-09-12,2023-09-13,1574,YIFANG-WALNUT STREET S,Dining,8.37,
2023-09-09,2023-09-11,1574,PAPA JOHN'S 3201,Dining,15.10,
2023-09-08,2023-09-09,1574,UBER   TRIP,Other Travel,13.00,
2023-09-08,2023-09-09,1574,SNACK* THAI SINGHA HOU,Dining,14.87,
2023-09-07,2023-09-07,1574,Jean Madeline Aveda In,Other Services,16.00,
2023-09-06,2023-09-06,1574,CHIPOTLE ONLINE,Dining,9.67,
2023-09-03,2023-09-04,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,190.77
2023-09-03,2023-09-04,1574,DOORDASH DASHPASS,Dining,4.99,
2023-09-01,2023-09-04,1574,NAYAX VENDING 47,Dining,6.00,
2023-09-01,2023-09-02,1574,TST* Sampan,Dining,15.96,
2023-09-01,2023-09-02,1574,Peacock 560AE Premium,Phone/Cable,2.11,
2023-08-27,2023-08-29,1574,SPASSO ITALIAN GRILL,Dining,94.39,
2023-08-28,2023-08-29,1574,SQ *RITTENHOUSE - VERV,Dining,3.51,
2023-08-27,2023-08-28,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,173.31
2023-08-27,2023-08-28,1574,TST* Ammas South India,Dining,74.80,
2023-08-25,2023-08-26,1574,WAWA 201,Gas/Automotive,5.51,
2023-08-23,2023-08-23,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,189.71
2023-08-21,2023-08-23,1574,AMERICAN  00124732345119,Airfare,167.80,
2023-08-21,2023-08-22,1574,UBER   TRIP,Other Travel,23.25,
2023-08-19,2023-08-21,1574,SOHO - SUGARFISH,Dining,40.29,
2023-08-20,2023-08-21,1574,BRICK HOUSE,Lodging,33.99,
2023-08-19,2023-08-21,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-08-19,2023-08-21,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-08-19,2023-08-21,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-08-19,2023-08-19,1574,TST* TARA ROSE,Dining,56.37,
2023-08-18,2023-08-19,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-08-16,2023-08-16,1574,STORE*MURASAKI,Dining,24.81,
2023-08-15,2023-08-15,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,228.90
2023-08-11,2023-08-12,1574,UBER   TRIP,Other Travel,8.71,
2023-08-10,2023-08-12,1574,VIP MARKET,Merchandise,14.29,
2023-08-10,2023-08-11,1574,WINE AND SPIRITS 5154,Merchandise,33.68,
2023-08-10,2023-08-11,1574,WINE AND SPIRITS 5105,Merchandise,7.34,
2023-08-10,2023-08-11,1574,WINE AND SPIRITS 5105,Merchandise,40.91,
2023-08-09,2023-08-10,1574,LASCALAS FIRE UNIVERSI,Dining,96.51,
2023-08-09,2023-08-10,1574,WAWA 86,Merchandise,7.12,
2023-08-08,2023-08-09,1574,CHIPOTLE 1480,Dining,9.13,
2023-08-07,2023-08-09,1574,MASTER WOK,Dining,7.98,
2023-08-08,2023-08-08,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,269.07
2023-08-07,2023-08-08,1574,DUNKIN #350910 Q35,Dining,3.23,
2023-08-07,2023-08-07,1574,QDOBA 2168 OLO,Dining,7.94,
2023-08-06,2023-08-07,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,125.31
2023-08-05,2023-08-07,1574,WENDY'S 191-11,Dining,20.51,
2023-08-05,2023-08-07,1574,TACOS CANCUN,Dining,218.61,
2023-08-06,2023-08-07,1574,PARKMOBILE,Gas/Automotive,3.60,
2023-08-05,2023-08-07,1574,DD DOORDASH MASALAKIT,Dining,18.41,
2023-08-04,2023-08-05,1574,T.J. MAXX #1507,Merchandise,42.98,
2023-08-03,2023-08-04,1574,DUNKIN #350910 Q35,Dining,3.23,
2023-08-02,2023-08-04,1574,PAGANOS MARKET & BAR,Dining,33.60,
2023-08-02,2023-08-04,1574,ACME #2397,Merchandise,31.92,
2023-08-03,2023-08-04,1574,UBER   TRIP,Other Travel,10.18,
2023-08-02,2023-08-03,1574,DUNKIN #350910 Q35,Dining,1.29,
2023-08-02,2023-08-02,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,320.28
2023-08-01,2023-08-02,1574,Peacock X1645 Premium,Phone/Cable,2.11,
2023-07-30,2023-07-31,1574,CAVANAUGH'S RIVER DECK,Dining,14.80,
2023-07-30,2023-07-31,1574,UBER   TRIP,Other Travel,17.98,
2023-07-29,2023-07-31,1574,DD DOORDASH HANDYNAST,Dining,34.65,
2023-07-29,2023-07-31,1574,SQ *BEN & JERRY'S U-PE,Dining,7.02,
2023-07-27,2023-07-28,1574,DUNKIN #350910 Q35,Dining,1.29,
2023-07-27,2023-07-28,1574,UBER   TRIP,Other Travel,10.12,
2023-07-27,2023-07-28,1574,UBER   TRIP,Other Travel,2.35,
2023-07-26,2023-07-27,1574,TST* Masala Kitchen Ka,Dining,7.64,
2023-07-25,2023-07-26,1574,WAWA 86,Merchandise,9.28,
2023-07-26,2023-07-26,1574,CNK*CINEMARK.COM 1109,Entertainment,,5.82
2023-07-24,2023-07-25,1574,PAPA JOHN'S 3201,Dining,1.48,
2023-07-24,2023-07-25,1574,SEPTA FARE MACHINE,Other Travel,2.50,
2023-07-24,2023-07-24,1574,CHIPOTLE ONLINE,Dining,9.13,
2023-07-21,2023-07-24,1574,PELICANA CHICKEN PHILA,Dining,61.49,
2023-07-22,2023-07-24,1574,MAKI,Dining,15.11,
2023-07-22,2023-07-24,1574,SEPTA MOBILE APP,Other Travel,2.00,
2023-07-23,2023-07-24,1574,TST* Tomo Sushi & Rame,Dining,108.36,
2023-07-21,2023-07-24,1574,ACME #2397,Merchandise,7.55,
2023-07-22,2023-07-24,1574,UBER   TRIP,Other Travel,13.35,
2023-07-22,2023-07-22,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,69.43
2023-07-21,2023-07-21,1574,UBER   TRIP,Other Travel,12.90,
2023-07-19,2023-07-20,1574,DUNKIN #350910 Q35,Dining,6.46,
2023-07-19,2023-07-20,1574,*PERKSATWORK*CINEMARKT,Other Services,30.76,
2023-07-20,2023-07-20,1574,CNK*CINEMARK.COM 1109,Entertainment,5.82,
2023-07-20,2023-07-20,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,865.62
2023-07-19,2023-07-20,1574,ANDPIZZA,Dining,13.49,
2023-07-14,2023-07-17,1574,VIP MARKET,Merchandise,29.68,
2023-07-14,2023-07-17,1574,VIP MARKET,Merchandise,6.00,
2023-07-15,2023-07-17,1574,TST* Veda - Modern Ind,Dining,723.64,
2023-07-15,2023-07-17,1574,UBER   TRIP,Other Travel,14.19,
2023-07-15,2023-07-15,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,59.76
2023-07-14,2023-07-15,1574,TST* Sampan,Dining,25.10,
2023-07-14,2023-07-15,1574,TST* Sampan,Dining,27.50,
2023-07-14,2023-07-15,1574,WINE AND SPIRITS 5105,Merchandise,39.51,
2023-07-13,2023-07-14,1574,DUNKIN #350910 Q35,Dining,3.23,
2023-07-14,2023-07-14,1574,UBER   TRIP,Other Travel,12.80,
2023-07-13,2023-07-14,1574,RAISING CANES 0707 MOB,Dining,12.72,
2023-07-12,2023-07-13,1574,DUNKIN #350910 Q35,Dining,5.17,
2023-07-13,2023-07-13,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,241.15
2023-07-12,2023-07-13,1574,SQ *AIR GRILLE GARDEN,Dining,11.00,
2023-07-11,2023-07-12,1574,DUNKIN #350910 Q35,Dining,5.17,
2023-07-12,2023-07-12,1574,CHIPOTLE ONLINE,Dining,9.67,
2023-07-10,2023-07-11,1574,UBER   TRIP,Other Travel,18.20,
2023-07-08,2023-07-10,1574,BRU,Dining,13.40,
2023-07-09,2023-07-10,1574,UBER   TRIP,Other Travel,14.21,
2023-07-09,2023-07-10,1574,UBER   TRIP,Other Travel,12.07,
2023-07-07,2023-07-08,1574,WINE AND SPIRITS 5156,Merchandise,40.49,
2023-07-07,2023-07-08,1574,UBER   TRIP,Other Travel,14.05,
2023-07-07,2023-07-07,1574,UBER   TRIP,Other Travel,17.00,
2023-07-06,2023-07-07,1574,WAWA 86,Merchandise,6.48,
2023-07-04,2023-07-06,1574,ACME #2397,Merchandise,7.55,
2023-07-04,2023-07-05,1574,DUNKIN #350910 Q35,Dining,5.17,
2023-07-05,2023-07-05,1574,UBER   TRIP,Other Travel,8.23,
2023-07-04,2023-07-05,1574,WINE AND SPIRITS 5156,Merchandise,2.01,
2023-07-04,2023-07-05,1574,WINE AND SPIRITS 5156,Merchandise,82.29,
2023-07-04,2023-07-04,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,374.98
2023-07-02,2023-07-03,1574,AUNTIE ANNES PA 243 SR,Dining,4.39,
2023-07-02,2023-07-03,1574,WAWA 8140,Gas/Automotive,10.60,
2023-07-02,2023-07-03,1574,GIANT 6478,Merchandise,34.41,
2023-07-01,2023-07-03,1574,CVS/PHARMACY #02951,Health Care,1.79,
2023-07-01,2023-07-03,1574,USCUSTOMS TRUSTEDTRAVE,Other Services,100.00,
2023-07-01,2023-07-03,1574,Peacock 87D49 Premium,Phone/Cable,2.11,
2023-06-30,2023-07-03,1574,KOOMA RESTAURANT,Dining,159.22,
2023-06-30,2023-07-01,1574,MAKI,Dining,15.11,
2023-06-30,2023-06-30,1574,UBER   TRIP,Other Travel,2.00,
2023-06-30,2023-06-30,1574,UBER   TRIP,Other Travel,7.16,
2023-06-28,2023-06-30,1574,MASTER WOK,Dining,9.55,
2023-06-28,2023-06-29,1574,DUNKIN #350910 Q35,Dining,2.58,
2023-06-27,2023-06-29,1574,TOKYO SUSHI & CATERING,Dining,4.85,
2023-06-28,2023-06-29,1574,UBER   TRIP,Other Travel,11.15,
2023-06-28,2023-06-28,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,117.53
2023-06-27,2023-06-28,1574,DUNKIN #350910 Q35,Dining,5.17,
2023-06-27,2023-06-28,1574,TARGET        00032060,Merchandise,4.89,
2023-06-27,2023-06-27,1574,CHIPOTLE ONLINE,Dining,9.67,
2023-06-26,2023-06-27,1574,MAKI,Dining,13.02,
2023-06-26,2023-06-27,1574,UBER   TRIP,Other Travel,11.18,
2023-06-25,2023-06-26,1574,PAPA JOHN'S 3201,Dining,4.30,
2023-06-26,2023-06-26,1574,UBER   TRIP,Other Travel,14.21,
2023-06-25,2023-06-26,1574,UBER   TRIP,Other Travel,11.23,
2023-06-24,2023-06-26,1574,TST* Ladder 15,Dining,40.00,
2023-06-25,2023-06-26,1574,UBER   TRIP,Other Travel,13.92,
2023-06-24,2023-06-24,1574,CAPITAL ONE MOBILE PYMT,Payment/Credit,,673.57
2023-06-22,2023-06-23,1574,DUNKIN #350910 Q35,Dining,2.58,
2023-06-21,2023-06-22,1574,WAWA 86,Merchandise,6.48,
2023-06-21,2023-06-22,1574,TST* Masala Kitchen Ka,Dining,13.28,
2023-06-21,2023-06-22,1574,TST* Masala Kitchen Ka,Dining,7.34,
2023-06-17,2023-06-19,1574,SEPHORA FASHION DISTRI,Merchandise,17.28,
2023-06-16,2023-06-19,1574,PAPA JOHN'S 3201,Dining,6.48,
2023-06-16,2023-06-17,1574,WINE AND SPIRITS 5156,Merchandise,20.30,
2023-06-15,2023-06-17,1574,MASTER WOK,Dining,9.28,
2023-06-15,2023-06-17,1574,ACME #2397,Merchandise,25.29,
2023-06-16,2023-06-16,1574,LYFT   RIDE WED 10PM,Other Travel,10.99,
2023-06-15,2023-06-16,1574,WINE AND SPIRITS 5156,Merchandise,26.89,
2023-06-14,2023-06-16,1574,VIP MARKET,Merchandise,26.39,
2023-06-13,2023-06-14,1574,CHIPOTLE 2257,Dining,10.05,
2023-06-11,2023-06-13,1574,VIP MARKET,Merchandise,32.14,
2023-06-11,2023-06-13,1574,STARBUCKS 800-782-7282,Dining,10.00,
2023-06-10,2023-06-12,1574,The Skinny Bar and Lou,Dining,19.42,
2023-06-09,2023-06-12,1574,The Skinny Bar and Lou,Dining,31.31,
2023-06-11,2023-06-12,1574,SQ *LIBERTY BAGELS MID,Dining,14.14,
2023-06-10,2023-06-12,1574,BAGELS SCHMEAR,Dining,10.00,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,MTA*NYCT PAYGO,Other Travel,2.75,
2023-06-10,2023-06-12,1574,LS LANDMARK WINE & SPI,Merchandise,6.35,
2023-06-10,2023-06-12,1574,UBER   TRIP,Other Travel,19.95,
2023-06-10,2023-06-12,1574,UBER   TRIP,Other Travel,13.98,
2023-06-10,2023-06-12,1574,UBER   TRIP,Other Travel,32.00,
2023-06-10,2023-06-12,1574,TACO BELL 346400346460,Dining,9.24,
2023-06-09,2023-06-10,1574,LYFT   *RIDE THU 9AM,Other Travel,26.99,
2023-06-08,2023-06-10,1574,WENDY'S 10480,Dining,7.77,
2023-06-08,2023-06-09,1574,PAPA JOHN'S 3201,Dining,6.48,
2023-06-08,2023-06-09,1574,UBER   TRIP,Other Travel,10.44,
2023-06-07,2023-06-07,1574,UBER   TRIP,Other Travel,10.16,
2023-06-06,2023-06-07,1574,UBER   TRIP,Other Travel,52.96,
2023-06-05,2023-06-06,1574,SQ *SHAKE SHACK,Dining,13.66,
2023-06-05,2023-06-06,1574,UBER   TRIP,Other Travel,9.92,
2023-06-04,2023-06-05,1574,CVS/PHARMACY #04007,Health Care,8.62,
2023-06-03,2023-06-05,1574,CVS/PHARMACY #02951,Health Care,31.17,
2023-06-03,2023-06-05,1574,WINE AND SPIRITS 5156,Merchandise,25.79,
2023-06-03,2023-06-05,1574,UBER   TRIP,Other Travel,12.35,
2023-06-02,2023-06-03,1574,MINUTEKEY,Merchandise,16.96,
2023-06-02,2023-06-03,1574,WAL-MART #2167,Merchandise,42.64,

